RaterID,CaseID,Series,CaseType,TOC,TOC_capped,NabN,CaseCert,Accuracy,Sequence,posttest_score,posttest_nabn_score,phases_completed,cases_completed
12,D0115,P0,Normal,23.291,23.291,Normal,Definitely,1,1,0.75,0.8,2,100
12,D0018,P0,Normal,15.15,15.15,Abnormal,Definitely,0,2,0.75,0.8,2,100
12,D0029,P0,Normal,22.126,22.126,Normal,Definitely,1,3,0.75,0.8,2,100
12,D0172,P0,Abnormal,12.612,12.612,Abnormal,Definitely,1,4,0.75,0.8,2,100
12,D0118,P0,Normal,27.699,27.699,Normal,Definitely,1,5,0.75,0.8,2,100
12,D0286,P0,Abnormal,57.741,57.741,Normal,Definitely,0,6,0.75,0.8,2,100
12,D0226,P0,Abnormal,10.467,10.467,Abnormal,Definitely,1,7,0.75,0.8,2,100
12,D0167,P0,Abnormal,8.665,8.665,Abnormal,Definitely,1,8,0.75,0.8,2,100
12,D0114,P0,Normal,11.065,11.065,Normal,Definitely,1,9,0.75,0.8,2,100
12,D0177,P0,Abnormal,12.804,12.804,Abnormal,Definitely,1,10,0.75,0.8,2,100
12,D0330,P0,Abnormal,18.319,18.319,Abnormal,Definitely,1,11,0.75,0.8,2,100
12,D0321,P0,Abnormal,13.454,13.454,Abnormal,Definitely,1,12,0.75,0.8,2,100
12,D0411,P0,Abnormal,46.969,46.969,Abnormal,Definitely,1,13,0.75,0.8,2,100
12,D0093,P0,Normal,11.728,11.728,Normal,Definitely,1,14,0.75,0.8,2,100
12,D0042,P0,Normal,14.681,14.681,Normal,Definitely,1,15,0.75,0.8,2,100
12,D0337,P0,Abnormal,27.534,27.534,Normal,Definitely,0,16,0.75,0.8,2,100
12,D0024,P0,Normal,16.072,16.072,Abnormal,Definitely,0,17,0.75,0.8,2,100
12,D0384,P0,Abnormal,17.523,17.523,Abnormal,Definitely,0,18,0.75,0.8,2,100
12,D0373,P0,Abnormal,5.112,5.112,Abnormal,Definitely,1,19,0.75,0.8,2,100
12,D0284,P0,Abnormal,12.909,12.909,Abnormal,Definitely,1,20,0.75,0.8,2,100
21,D0115,P0,Normal,25.569,25.569,Normal,Probably,1,1,0.8,0.85,2,100
21,D0018,P0,Normal,19.79,19.79,Normal,Probably,1,2,0.8,0.85,2,100
21,D0029,P0,Normal,17.711,17.711,Normal,Probably,1,3,0.8,0.85,2,100
21,D0172,P0,Abnormal,23.555,23.555,Abnormal,Probably,1,4,0.8,0.85,2,100
21,D0118,P0,Normal,28.535,28.535,Abnormal,Probably,0,5,0.8,0.85,2,100
21,D0286,P0,Abnormal,34.911,34.911,Abnormal,Probably,1,6,0.8,0.85,2,100
21,D0226,P0,Abnormal,10.915,10.915,Abnormal,Definitely,1,7,0.8,0.85,2,100
21,D0167,P0,Abnormal,11.016,11.016,Abnormal,Definitely,1,8,0.8,0.85,2,100
21,D0114,P0,Normal,21.149,21.149,Normal,Probably,1,9,0.8,0.85,2,100
21,D0177,P0,Abnormal,23.775,23.775,Abnormal,Probably,1,10,0.8,0.85,2,100
21,D0330,P0,Abnormal,23.687,23.687,Abnormal,Probably,1,11,0.8,0.85,2,100
21,D0321,P0,Abnormal,17.485,17.485,Abnormal,Probably,0,12,0.8,0.85,2,100
21,D0411,P0,Abnormal,21.057,21.057,Normal,Probably,0,13,0.8,0.85,2,100
21,D0093,P0,Normal,14.189,14.189,Normal,Probably,1,14,0.8,0.85,2,100
21,D0042,P0,Normal,52.332,52.332,Normal,Probably,1,15,0.8,0.85,2,100
21,D0337,P0,Abnormal,35.58,35.58,Abnormal,Probably,1,16,0.8,0.85,2,100
21,D0024,P0,Normal,35.383,35.383,Abnormal,Probably,0,17,0.8,0.85,2,100
21,D0384,P0,Abnormal,15.123,15.123,Abnormal,Probably,1,18,0.8,0.85,2,100
21,D0373,P0,Abnormal,17.144,17.144,Abnormal,Definitely,1,19,0.8,0.85,2,100
21,D0284,P0,Abnormal,54.39,54.39,Abnormal,Probably,1,20,0.8,0.85,2,100
15,D0115,P0,Normal,68.847,68.847,Normal,Definitely,1,1,0.75,0.8,2,100
15,D0018,P0,Normal,74.059,74.059,Abnormal,Definitely,0,2,0.75,0.8,2,100
15,D0029,P0,Normal,40.948,40.948,Normal,Definitely,1,3,0.75,0.8,2,100
15,D0172,P0,Abnormal,34.076,34.076,Abnormal,Definitely,1,4,0.75,0.8,2,100
15,D0118,P0,Normal,49.49,49.49,Normal,Definitely,1,5,0.75,0.8,2,100
15,D0286,P0,Abnormal,25.728,25.728,Normal,Definitely,0,6,0.75,0.8,2,100
15,D0226,P0,Abnormal,29.661,29.661,Abnormal,Definitely,1,7,0.75,0.8,2,100
15,D0167,P0,Abnormal,43.222,43.222,Abnormal,Definitely,0,8,0.75,0.8,2,100
15,D0114,P0,Normal,30.034,30.034,Normal,Definitely,1,9,0.75,0.8,2,100
15,D0177,P0,Abnormal,41.626,41.626,Abnormal,Definitely,1,10,0.75,0.8,2,100
15,D0330,P0,Abnormal,53.449,53.449,Abnormal,Definitely,1,11,0.75,0.8,2,100
15,D0321,P0,Abnormal,39.773,39.773,Abnormal,Definitely,1,12,0.75,0.8,2,100
15,D0411,P0,Abnormal,50.958,50.958,Abnormal,Definitely,1,13,0.75,0.8,2,100
15,D0093,P0,Normal,47.549,47.549,Normal,Probably,1,14,0.75,0.8,2,100
15,D0042,P0,Normal,158.213,158.213,Abnormal,Definitely,0,15,0.75,0.8,2,100
15,D0337,P0,Abnormal,99.715,99.715,Normal,Definitely,0,16,0.75,0.8,2,100
15,D0024,P0,Normal,44.005,44.005,Normal,Definitely,1,17,0.75,0.8,2,100
15,D0384,P0,Abnormal,42.577,42.577,Abnormal,Definitely,1,18,0.75,0.8,2,100
15,D0373,P0,Abnormal,118.562,118.562,Abnormal,Probably,1,19,0.75,0.8,2,100
15,D0284,P0,Abnormal,36.041,36.041,Abnormal,Definitely,1,20,0.75,0.8,2,100
55,D0115,P0,Normal,28.862,28.862,Normal,Definitely,1,1,0.75,0.75,2,100
55,D0018,P0,Normal,41.339,41.339,Abnormal,Probably,0,2,0.75,0.75,2,100
55,D0029,P0,Normal,33.93,33.93,Normal,Probably,1,3,0.75,0.75,2,100
55,D0172,P0,Abnormal,32.266,32.266,Abnormal,Definitely,1,4,0.75,0.75,2,100
55,D0118,P0,Normal,38.721,38.721,Normal,Probably,1,5,0.75,0.75,2,100
55,D0286,P0,Abnormal,15.299,15.299,Abnormal,Definitely,1,6,0.75,0.75,2,100
55,D0226,P0,Abnormal,117.308,117.308,Abnormal,Definitely,1,7,0.75,0.75,2,100
55,D0167,P0,Abnormal,39.918,39.918,Abnormal,Definitely,1,8,0.75,0.75,2,100
55,D0114,P0,Normal,61.37,61.37,Normal,Probably,1,9,0.75,0.75,2,100
55,D0177,P0,Abnormal,28.527,28.527,Abnormal,Definitely,1,10,0.75,0.75,2,100
55,D0330,P0,Abnormal,29.978,29.978,Abnormal,Definitely,1,11,0.75,0.75,2,100
55,D0321,P0,Abnormal,34.812,34.812,Normal,Definitely,0,12,0.75,0.75,2,100
55,D0411,P0,Abnormal,40.774,40.774,Normal,Definitely,0,13,0.75,0.75,2,100
55,D0093,P0,Normal,138.432,138.432,Normal,Definitely,1,14,0.75,0.75,2,100
55,D0042,P0,Normal,25.452,25.452,Abnormal,Probably,0,15,0.75,0.75,2,100
55,D0337,P0,Abnormal,43.25,43.25,Abnormal,Probably,1,16,0.75,0.75,2,100
55,D0024,P0,Normal,41.631,41.631,Abnormal,Probably,0,17,0.75,0.75,2,100
55,D0384,P0,Abnormal,29.889,29.889,Abnormal,Definitely,1,18,0.75,0.75,2,100
55,D0373,P0,Abnormal,9.589,9.589,Abnormal,Definitely,1,19,0.75,0.75,2,100
55,D0284,P0,Abnormal,14.534,14.534,Abnormal,Definitely,1,20,0.75,0.75,2,100
32,D0115,P0,Normal,51.254,51.254,Normal,Definitely,1,1,0.9,0.9,2,100
32,D0018,P0,Normal,62.48,62.48,Abnormal,Probably,0,2,0.9,0.9,2,100
32,D0029,P0,Normal,92.406,92.406,Normal,Probably,1,3,0.9,0.9,2,100
32,D0172,P0,Abnormal,44.175,44.175,Abnormal,Definitely,1,4,0.9,0.9,2,100
32,D0118,P0,Normal,73.444,73.444,Abnormal,Probably,0,5,0.9,0.9,2,100
32,D0286,P0,Abnormal,41.504,41.504,Abnormal,Definitely,1,6,0.9,0.9,2,100
32,D0226,P0,Abnormal,23.577,23.577,Abnormal,Definitely,1,7,0.9,0.9,2,100
32,D0167,P0,Abnormal,79.11,79.11,Abnormal,Definitely,1,8,0.9,0.9,2,100
32,D0114,P0,Normal,53.083,53.083,Normal,Definitely,1,9,0.9,0.9,2,100
32,D0177,P0,Abnormal,35.67,35.67,Abnormal,Definitely,1,10,0.9,0.9,2,100
32,D0330,P0,Abnormal,55.163,55.163,Abnormal,Probably,1,11,0.9,0.9,2,100
32,D0321,P0,Abnormal,103.3,103.3,Abnormal,Probably,1,12,0.9,0.9,2,100
32,D0411,P0,Abnormal,75.726,75.726,Abnormal,Definitely,1,13,0.9,0.9,2,100
32,D0093,P0,Normal,116.346,116.346,Normal,Probably,1,14,0.9,0.9,2,100
32,D0042,P0,Normal,97.151,97.151,Normal,Probably,1,15,0.9,0.9,2,100
32,D0337,P0,Abnormal,67.98,67.98,Abnormal,Probably,1,16,0.9,0.9,2,100
32,D0024,P0,Normal,140.943,140.943,Normal,Probably,1,17,0.9,0.9,2,100
32,D0384,P0,Abnormal,34.927,34.927,Abnormal,Probably,1,18,0.9,0.9,2,100
32,D0373,P0,Abnormal,49.869,49.869,Abnormal,Definitely,1,19,0.9,0.9,2,100
32,D0284,P0,Abnormal,46.814,46.814,Abnormal,Probably,1,20,0.9,0.9,2,100
76,D0115,P0,Normal,21.639,21.639,Normal,Probably,1,1,0.6,0.6,2,100
76,D0018,P0,Normal,35.746,35.746,Normal,Probably,1,2,0.6,0.6,2,100
76,D0029,P0,Normal,16.966,16.966,Normal,Probably,1,3,0.6,0.6,2,100
76,D0172,P0,Abnormal,71.423,71.423,Normal,Probably,0,4,0.6,0.6,2,100
76,D0118,P0,Normal,19.508,19.508,Normal,Probably,1,5,0.6,0.6,2,100
76,D0286,P0,Abnormal,18.678,18.678,Normal,Probably,0,6,0.6,0.6,2,100
76,D0226,P0,Abnormal,18.176,18.176,Abnormal,Definitely,1,7,0.6,0.6,2,100
